label	company_name
119	Verizon Communications
84	Ant Financial
164	Tsinghua Unigroup
159	The We Company
65	Tesla
191	JUUL
22	China Unicom
19	Rosneft
146	SMIC
161	AT&T Wireless Mobility Group
49	Grab
35	Alibaba Group
85	Citigroup
106	Meituan-Dianping
129	COFCO
35	Flipkart
19	Pemex
157	Gree Electric Appliance
19	EP Energy Corporation
85	IndiaFirst Life Insurance
22	Clearwire
19	Petrobras
203	Tencent Holdings
122	Hilton Worldwide
160	Global Switch
103	Eskom Holdings
74	Apple
72	Shanghai Pudong Development Bank
75	Sberbank
16	Galapagos
177	Wanda Commercial Management Group
43	Cruise
79	Charter Communications
105	JD Digits
52	Cainiao Logistics
84	Du Xiaoman Financial
46	Ping An
57	Reliance Jio Infocomm Limited
67	Suning.com
0	Uniper
123	Airbnb
19	NEDGIA
96	Lazada Group
21	Canopy Growth
66	NIO
163	Avolon Holdings
81	NVIDIA
23	Aspen Pharmacare
221	Block.one
121	Infor
152	Abu Dhabi National Oil Company
110	Ola
175	Evonik Industries
3	Bayer
121	Visma
49	Argo AI
39	Quintiles
84	First Data
72	QNB Group
19	Slovensky plynarensky priemysel
148	Xiaomi
110	Coupang
163	FS/KKR Advisor
106	Chehaoduo
10	Greenko Group
110	ELEME
68	Deutsche Telekom
204	Shanghai Canxing Cultural and Broadcast Company
168	OLAM International
57	Vantage Data Centers
84	Gojek
90	AccorHotels
227	Allegro
190	"""Toys """"R"""" Us"""
195	Toutiao
212	Netflix
204	iQiyi
4	Vivint Solar
131	Inspur Cloud
79	OneWeb
169	Sun Art Retail Group
76	JD.com
96	The Hut Group
19	Venari Resources
11	Roche
169	Migros
213	One97 Communications
7	Sibanye Gold
183	Sea
160	VICI Properties
127	Safaricom
209	Spotify
164	Ball Corporation
86	SoFi
7	Groot Systems
204	Universal Studios Japan
19	Tullow Oil
10	FirstEnergy Corp.
86	Kabbage
73	Magnit
35	Tokopedia
43	UCAR
10	Diversey
228	Facebook
2	ReNew Power
4	Sunnova
79	Tunisie Télécom
221	Rocket Internet
226	Focus Media
189	Faraday Future
66	Mitsubishi Motors
51	Manbang Group
127	Airtel
49	ofo
47	Sound Physicians
78	sPower
45	SolarCity
169	Easyhome
121	Palantir Technologies
204	Legendary Entertainment
58	Seahawk Holdings
121	Zebra Technologies
167	Saint-Gobain
151	Auxmoney
52	DoorDash
6	China Evergrande Group
85	Axis Bank
110	MercadoLibre
98	Quad/Graphics
94	Roivant Sciences
22	O3b Networks
23	Cronos Group
3	BGI Genomics
104	Suning Finance
167	View
6	Frasers Property
189	Stone Canyon Industries
86	Avant
3	Moderna Therapeutics
35	Snapdeal
152	GNDB
59	Gazprom
207	IMIsoft Engineering
48	Hello TransTech
43	Rivian
68	Inmarsat Plc
112	Infineon Technologies
123	OYO
117	LY.com
169	Sears Holdings Corporation
86	Greensill Capital
162	Pivotal
47	DuPage Medical Group
228	Telegram Messenger
67	Fanatics
66	Xiaopeng Motors
33	Intarcia Therapeutics
37	Baxter International
220	Vice Media
186	Groupe Casino
66	BAIC BJEV
167	thyssenkrupp
56	Wish
33	Grail
65	WM Motor
139	Epic Games
6	Compass
83	T-Mobile
28	Alnylam Pharmaceuticals
186	Deliveroo
79	Liquid Telecom
227	CMC Inc.
19	Plains All American Pipeline
6	Opendoor
66	Fisker Automotive
221	Swiggy
221	Kakao
205	Twitter
19	Lucid Energy Group
145	Herbalife Nutrition Ltd.
90	Dufry
163	LendingPoint
127	Airtel Africa
169	Steinhoff Africa Retail
124	Equinix
6	Lianjia
113	OneMain Financial
