label	company_name
24	MeetMoi
38	CrowdVine
48	Zazzle
36	MOO.COM
53	Seeking Alpha
42	Gigaom
17	Cerado
13	can
55	Wallhogs
69	Respectance
58	Relationals
55	Keep Highways Safe
54	Nononina
14	Kaneva
69	IMVU
10	Outdoorzy
14	Webkinz
62	Aniboom
88	Sharetronix
21	Mahalo
86	STRANDS
18	Tun3r
51	ConVerdge
13	Broadband Mechanics
60	Groupsite
8	Terabitz
1	Vast
19	Jay Stakz Productions
18	Jaman
8	JumpBox
66	Rebtel
69	Fandom
28	Buxfer
17	Montlake Capital
19	MeeMix
79	OpenX
17	ZenZui
61	Sellaband
62	Funny Or Die
58	Steorn
36	Zooomr
73	Squid Labs
63	Linden Lab
56	Techmeme
72	revlayer
16	Spreadshirt
64	barablu
67	eBuddy
85	DOmedia
17	obopay
67	KushCash
46	MobileKids
14	Dubit
30	Faketown
84	GoLightly
85	Judys Book
39	Barbie Girls
14	Gaia Online
3	Alstrasoft
74	Lotame
60	Boonex
59	DZOIC
61	introNetworks
14	Kwiqq
51	Webligo Developments
59	Web Scribble Solutions
54	ThePort Network
17	MobiTV
29	Sleep.FM
23	Bountii
73	Eventbee
47	Shock Treatment Management
70	The Filter
18	Burnlounge
23	Netblue
17	MocoSpace
45	GoChongo
74	LYCOS Media, Division of LYCOS Internet Limited
77	MyOfferPal
61	MyHeritage
18	Contrastream
13	Story of My Life
23	FAROO
79	PubMatic
61	GlobalMotion
83	in2apps
54	Snooth Media
69	UpDown
47	DonorsChoose
42	Greenest Host
1	Realius
17	Styky
88	York
39	Kaltura
39	SuTree
33	FFWD Wheels
63	Mobovivo
45	EkkoTV
60	Houseglue
8	Zerofootprint
54	Media Panther Network
89	FeVote
41	DECA
22	Catch the Best
17	OOBLADA
1	CondoDomain
16	Blurb
39	myZenPlanet
87	Davidville
1	Ubertor
74	Crusher
22	JobDig
62	Vimeo
69	Soup.io
18	Jango
69	FilmCrave
49	DraftMix
50	Code42
8	Fleaflicker
60	Fix8
39	Vobile
67	Phone.com
53	The Funded
19	OurStage
54	Verican
47	Viddler
18	RedLasso
74	Quotations Book
21	OrganizedWisdom
84	iDesktop.tv
59	Qwaq
18	Deezer
73	Desktoptwo
13	MyNeighborhood
14	Masala
13	Apollo Media
46	Uversity
76	MyStore
8	LiveJournal
82	Vemo
23	Hakia
73	Seethroo
70	Ads Click
49	Picktastic
83	RivalSoft
29	Chumby
45	GlobalGiving
14	Kdice
60	UpGuppy Media
23	WhatsOpen
13	Minti
62	Big Think
6	CWI Medical
36	Fotosearch Stock Photography
39	Critical Media
72	PLYmedia
10	VoxSwap
61	Genoom
3	Freepath
10	ReimagineMemories
67	TrackMyShipments
23	Twingly
23	velingo
19	Qtrax
1	PropertyMaps.com
39	ClipBlast!
39	Bubble Guru
59	MyPublicInfo
68	Brand Science Institute
79	First30Days
39	Bukisa
68	VerticalCurve
29	Mibura
59	Observu
59	thatsmymouse
59	MyDND
62	Tvosz
40	Autonet Mobile
62	Triptuber
42	Inside
63	Convos
60	Unknown Vector
24	Jet Numbers
87	Limeade
14	PlanJam
16	Kazowie
55	E! Entertainment
59	PathConnect
14	GameDuell
20	Zytran
37	Kaddoz
61	Poodz
79	PredictAd
68	Oddcast
68	Clicks2Customers
13	Iminta
18	Vijarn Kabisa
73	GroundReport
72	Recombinant
44	Ladders
44	ExecuNet
48	DeaLoco
46	LexDex
17	Ekata
1	Nykredit Realkredit
37	Epic Trip
66	Telepost
11	Snapseekers
50	Silobreaker
69	Devunity
72	Winescorecard
23	Hurdan
69	Stumpedia
29	Physical Interaction Lab
79	Experience Commerce
39	ePrep
8	EkoPLC
60	Trackur
17	doubleTwist
20	Online-Access
47	Motionplan
26	MediaTrust
8	MyApartmentMap
22	8coupons
83	Cloudo
61	U-Cast
22	GenieKnows
52	Tiny
8	Sxoop Technologies
6	HealthLat
62	Mobypicture
56	Issuu
17	NewACT
74	Hubert Burda Media
39	EMOB
55	Leverage Card
